Name: angerville-1
Location: 48.3201 , 2.0284
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,1.61,353
2020/07/17 09:00UTC,2.47,9
2020/07/17 12:00UTC,2.46,352
2020/07/17 15:00UTC,3.13,336
2020/07/17 18:00UTC,2.74,322
2020/07/17 21:00UTC,2.38,334
2020/07/18 00:00UTC,2.84,335
2020/07/18 03:00UTC,2.54,341
2020/07/18 06:00UTC,2.30,332
2020/07/18 09:00UTC,1.91,311
2020/07/18 12:00UTC,2.40,316
2020/07/18 15:00UTC,2.27,323
2020/07/18 18:00UTC,2.28,313
2020/07/18 21:00UTC,2.84,334
2020/07/19 00:00UTC,2.55,38
2020/07/19 03:00UTC,1.79,33
2020/07/19 06:00UTC,1.30,61
2020/07/19 09:00UTC,0.93,53
2020/07/19 12:00UTC,1.33,301
2020/07/19 15:00UTC,2.46,312
2020/07/19 18:00UTC,1.70,350
2020/07/19 21:00UTC,3.40,347
2020/07/20 00:00UTC,3.32,14
2020/07/20 03:00UTC,3.06,5
2020/07/20 06:00UTC,4.09,26
2020/07/20 09:00UTC,4.25,29
2020/07/20 12:00UTC,3.38,27
2020/07/20 15:00UTC,4.51,18
2020/07/20 18:00UTC,4.94,11
2020/07/20 21:00UTC,3.45,23
2020/07/21 00:00UTC,3.59,35
2020/07/21 03:00UTC,3.74,24
2020/07/21 06:00UTC,4.40,28
2020/07/21 09:00UTC,5.18,39
2020/07/21 12:00UTC,4.74,42
2020/07/21 15:00UTC,4.56,43
2020/07/21 18:00UTC,4.41,52
2020/07/21 21:00UTC,4.46,46
2020/07/22 00:00UTC,4.75,45
2020/07/22 03:00UTC,4.68,43
2020/07/22 06:00UTC,5.06,51
2020/07/22 09:00UTC,5.03,55
2020/07/22 12:00UTC,5.40,59
2020/07/22 15:00UTC,5.00,58
2020/07/22 18:00UTC,3.49,56
2020/07/22 21:00UTC,3.27,42
2020/07/23 00:00UTC,3.18,23
2020/07/23 03:00UTC,3.08,26
2020/07/23 06:00UTC,2.59,21
2020/07/23 09:00UTC,3.06,15
2020/07/23 12:00UTC,2.97,9
2020/07/23 15:00UTC,3.30,340
2020/07/23 18:00UTC,3.95,327
2020/07/23 21:00UTC,4.65,341
2020/07/24 00:00UTC,2.75,7
2020/07/24 03:00UTC,1.82,8
2020/07/24 06:00UTC,0.92,357
2020/07/24 09:00UTC,0.98,200
2020/07/24 12:00UTC,3.04,230
2020/07/24 15:00UTC,4.08,243
2020/07/24 18:00UTC,2.08,234
2020/07/24 21:00UTC,7.23,297
2020/07/25 00:00UTC,4.03,246
2020/07/25 03:00UTC,3.69,234
2020/07/25 06:00UTC,5.35,214
2020/07/25 09:00UTC,6.61,214
2020/07/25 12:00UTC,7.84,225
2020/07/25 15:00UTC,7.00,256
2020/07/25 18:00UTC,5.65,251
2020/07/25 21:00UTC,3.81,252
2020/07/26 00:00UTC,4.78,231
2020/07/26 03:00UTC,4.73,231
2020/07/26 06:00UTC,4.86,229
2020/07/26 09:00UTC,6.02,235
2020/07/26 12:00UTC,6.26,235
2020/07/26 15:00UTC,6.05,245
2020/07/26 18:00UTC,4.99,233
2020/07/26 21:00UTC,3.49,255
2020/07/27 00:00UTC,4.17,255
2020/07/27 03:00UTC,3.87,245
2020/07/27 06:00UTC,5.06,240
